ID,Date,Day,Site,Sample,DayTime,Flower,Bee,Family,Genus,Species,CaptureTime
3906,8/11/2021,223,5,7,2,Achillea millefolium ,Bombus bifarius,Apidae,Bombus,bifarius,11
3907,8/11/2021,223,5,7,2,Achillea millefolium ,Bombus bifarius,Apidae,Bombus,bifarius,16
3980,8/11/2021,223,5,7,3,Achillea millefolium ,Bombus bifarius,Apidae,Bombus,bifarius,19
3981,8/11/2021,223,5,7,3,Achillea millefolium ,Bombus bifarius,Apidae,Bombus,bifarius,20
3982,8/11/2021,223,5,7,3,Achillea millefolium ,Bombus bifarius,Apidae,Bombus,bifarius,24
3316,7/28/2021,209,6,6,1,Achillea millefolium ,Bombus bifarius,Apidae,Bombus,bifarius,1
3477,7/28/2021,209,6,6,3,Achillea millefolium ,Bombus bifarius,Apidae,Bombus,bifarius,27
4204,8/11/2021,223,6,7,3,Achillea millefolium ,Bombus bifarius,Apidae,Bombus,bifarius,21
5832,8/21/2021,233,6,8,1,Achillea millefolium ,Bombus bifarius,Apidae,Bombus,bifarius,6
5908,8/21/2021,233,6,8,3,Achillea millefolium ,Bombus bifarius,Apidae,Bombus,bifarius,6
2877,7/27/2021,208,2,6,1,Achillea millefolium ,Bombus centralis,Apidae,Bombus,centralis,22
4776,8/12/2021,224,3,7,1,Achillea millefolium ,Bombus centralis,Apidae,Bombus,centralis,23
4777,8/12/2021,224,3,7,1,Achillea millefolium ,Bombus centralis,Apidae,Bombus,centralis,23
5598,8/20/2021,232,3,8,3,Achillea millefolium ,Bombus centralis,Apidae,Bombus,centralis,12
5599,8/20/2021,232,3,8,3,Achillea millefolium ,Bombus centralis,Apidae,Bombus,centralis,19
4939,8/12/2021,224,3,7,3,Achillea millefolium ,Bombus huntii,Apidae,Bombus,huntii,25
3853,8/11/2021,223,5,7,1,Achillea millefolium ,Bombus huntii,Apidae,Bombus,huntii,3
5876,8/21/2021,233,6,8,2,Achillea millefolium ,Bombus huntii,Apidae,Bombus,huntii,8
1429,7/13/2021,194,5,5,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,4
1430,7/13/2021,194,5,5,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,6
1431,7/13/2021,194,5,5,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,11
1432,7/13/2021,194,5,5,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,20
1433,7/13/2021,194,5,5,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,22
1466,7/13/2021,194,5,5,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,6
1467,7/13/2021,194,5,5,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,9
1468,7/13/2021,194,5,5,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,28
1515,7/13/2021,194,5,5,3,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,13
1516,7/13/2021,194,5,5,3,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,24
3105,7/28/2021,209,5,6,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,2
3106,7/28/2021,209,5,6,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,2
3107,7/28/2021,209,5,6,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,5
3108,7/28/2021,209,5,6,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,6
3109,7/28/2021,209,5,6,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,16
3110,7/28/2021,209,5,6,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,25
3111,7/28/2021,209,5,6,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,26
3112,7/28/2021,209,5,6,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,28
3113,7/28/2021,209,5,6,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,29
3263,7/28/2021,209,5,6,3,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,4
3865,8/11/2021,223,5,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,3
3866,8/11/2021,223,5,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,3
3867,8/11/2021,223,5,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,9
3868,8/11/2021,223,5,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,13
3869,8/11/2021,223,5,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,17
3870,8/11/2021,223,5,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,19
3871,8/11/2021,223,5,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,22
3872,8/11/2021,223,5,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,26
3873,8/11/2021,223,5,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,27
3926,8/11/2021,223,5,7,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,29
4015,8/11/2021,223,5,7,3,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,18
5737,8/21/2021,233,5,8,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,3
5738,8/21/2021,233,5,8,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,18
5739,8/21/2021,233,5,8,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,21
5782,8/21/2021,233,5,8,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,3
5783,8/21/2021,233,5,8,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,6
5784,8/21/2021,233,5,8,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,18
5818,8/21/2021,233,5,8,3,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,6
5819,8/21/2021,233,5,8,3,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,8
1602,7/13/2021,194,6,5,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,1
1603,7/13/2021,194,6,5,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,9
1604,7/13/2021,194,6,5,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,23
3356,7/28/2021,209,6,6,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,15
3430,7/28/2021,209,6,6,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,13
3508,7/28/2021,209,6,6,3,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,20
4059,8/11/2021,223,6,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,2
4060,8/11/2021,223,6,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,13
4061,8/11/2021,223,6,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,22
4062,8/11/2021,223,6,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,24
4063,8/11/2021,223,6,7,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,27
4226,8/11/2021,223,6,7,3,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,26
5842,8/21/2021,233,6,8,1,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,26
5877,8/21/2021,233,6,8,2,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,9
5924,8/21/2021,233,6,8,3,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,15
5925,8/21/2021,233,6,8,3,Achillea millefolium ,Bombus nevadensis,Apidae,Bombus,nevadensis,18
4651,8/12/2021,224,2,7,2,Achillea millefolium ,Bombus rufocinctus,Apidae,Bombus,rufocinctus,1
5746,8/21/2021,233,5,8,1,Achillea millefolium ,Bombus rufocinctus,Apidae,Bombus,rufocinctus,22
5788,8/21/2021,233,5,8,2,Achillea millefolium ,Bombus rufocinctus,Apidae,Bombus,rufocinctus,7
5789,8/21/2021,233,5,8,2,Achillea millefolium ,Bombus rufocinctus,Apidae,Bombus,rufocinctus,12
5881,8/21/2021,233,6,8,2,Achillea millefolium ,Bombus rufocinctus,Apidae,Bombus,rufocinctus,12
5882,8/21/2021,233,6,8,2,Achillea millefolium ,Bombus rufocinctus,Apidae,Bombus,rufocinctus,18
5883,8/21/2021,233,6,8,2,Achillea millefolium ,Bombus rufocinctus,Apidae,Bombus,rufocinctus,21
5928,8/21/2021,233,6,8,3,Achillea millefolium ,Bombus rufocinctus,Apidae,Bombus,rufocinctus,17
5843,8/21/2021,233,6,8,1,Achillea millefolium ,Bombus sylvicola,Apidae,Bombus,sylvicola,4
2381,7/16/2021,197,2,5,3,Achillea millefolium ,Halictus,Halictidae,Halictus,sp.,7
248,6/2/2021,153,5,2,2,Achillea millefolium ,Halictus,Halictidae,Halictus,sp.,17
3441,7/28/2021,209,6,6,2,Achillea millefolium ,Halictus tripartitus,Halictidae,Halictus,tripartitus,13
5160,8/12/2021,224,4,7,3,Achillea millefolium ,Hoplitis fulgida,Megachilidae,Hoplitis,fulgida,7
6148,9/11/2021,254,1,9,1,Achillea millefolium ,Hylaeus,Colletidae,Hylaeus,sp. ,21
1966,7/15/2021,196,3,5,3,Achillea millefolium ,Hylaeus,Colletidae,Hylaeus,sp. ,11
2774,7/27/2021,208,1,6,2,Achillea millefolium ,Lasioglossum (Dialictus),Halictidae,Lasioglossum (Dialictus),sp. ,7
6156,9/11/2021,254,1,9,1,Achillea millefolium ,Lasioglossum (Dialictus),Halictidae,Lasioglossum (Dialictus),sp. ,22
6187,9/11/2021,254,1,9,2,Achillea millefolium ,Lasioglossum (Dialictus),Halictidae,Lasioglossum (Dialictus),sp. ,14
2322,7/16/2021,197,2,5,2,Achillea millefolium ,Lasioglossum (Dialictus),Halictidae,Lasioglossum (Dialictus),sp. ,19
1057,6/28/2021,179,3,4,3,Achillea millefolium ,Lasioglossum (Dialictus),Halictidae,Lasioglossum (Dialictus),sp. ,11
2478,7/26/2021,207,3,6,2,Achillea millefolium ,Lasioglossum (Dialictus),Halictidae,Lasioglossum (Dialictus),sp. ,24
2479,7/26/2021,207,3,6,2,Achillea millefolium ,Lasioglossum (Dialictus),Halictidae,Lasioglossum (Dialictus),sp. ,26
1520,7/13/2021,194,5,5,3,Achillea millefolium ,Lasioglossum (Dialictus),Halictidae,Lasioglossum (Dialictus),sp. ,29
1399,7/1/2021,182,6,4,3,Achillea millefolium ,Lasioglossum (Dialictus),Halictidae,Lasioglossum (Dialictus),sp. ,28
1610,7/13/2021,194,6,5,2,Achillea millefolium ,Lasioglossum (Dialictus),Halictidae,Lasioglossum (Dialictus),sp. ,13
3202,7/28/2021,209,5,6,2,Achillea millefolium ,Lasioglossum (Sensu stricto),Halictidae,Lasioglossum (Sensu stricto),sp. ,22
3524,7/28/2021,209,6,6,3,Achillea millefolium ,Lasioglossum (Sensu stricto),Halictidae,Lasioglossum (Sensu stricto),sp. ,13
2211,7/16/2021,197,1,5,3,Achillea millefolium ,Megachile,Megachilidae,Megachile,sp. ,27
2780,7/27/2021,208,1,6,2,Achillea millefolium ,Melissodes,Apidae,Melissodes,sp. ,7
1971,7/15/2021,196,3,5,3,Achillea millefolium ,Melissodes,Apidae,Melissodes,sp. ,8
6188,9/11/2021,254,1,9,2,Achillea millefolium ,Sphecodes,Apidae,Sphecodes,sp. ,14
6201,9/11/2021,254,1,9,3,Achillea millefolium ,Sphecodes,Halictidae,Sphecodes,sp. ,6
3638,7/29/2021,210,7,6,2,Achillea millefolium ,Sphecodes,Halictidae,Sphecodes,sp. ,11
