Date,Site,Sample,Time,Start,End,Temp
5/25/2021,1,1,1,9:30,10:00,NA
5/25/2021,1,1,2,12:30,13:00,NA
5/25/2021,1,1,3,14:45,15:15,NA
5/25/2021,2,1,1,10:30,11:00,NA
5/25/2021,2,1,2,11:15,11:45,NA
5/25/2021,2,1,3,14:00,14:30,NA
5/24/2021,3,1,1,9:00,9:30,NA
5/24/2021,3,1,2,11:00,11:30,NA
5/24/2021,3,1,3,14:00,14:30,NA
5/24/2021,4,1,1,9:40,10:10,NA
5/24/2021,4,1,2,11:45,12:15,NA
5/24/2021,4,1,3,14:45,15:15,NA
5/23/2021,5,1,1,8:15,8:45,NA
5/23/2021,5,1,2,12:15,12:45,NA
5/23/2021,5,1,3,14:45,15:15,NA
5/23/2021,6,1,1,9:05,9:35,NA
5/23/2021,6,1,2,13:10,13:40,NA
5/23/2021,6,1,3,14:00,14:30,NA
5/21/2021,7,1,1,10:30,11:00,NA
5/21/2021,7,1,2,11:30,12:00,NA
5/21/2021,7,1,3,14:45,15:15,NA
5/21/2021,8,1,1,9:45,10:15,NA
5/21/2021,8,1,2,12:15,12:45,NA
5/21/2021,8,1,3,14:00,14:30,NA
6/3/2021,1,2,1,9:20,9:50,NA
6/3/2021,1,2,2,11:45,12:15,NA
6/3/2021,1,2,3,14:45,15:15,NA
6/3/2021,2,2,1,10:05,10:35,NA
6/3/2021,2,2,2,11:00,11:30,NA
6/3/2021,2,2,3,14:00,14:30,NA
6/4/2021,3,2,1,8:30,9:00,NA
6/4/2021,3,2,2,11:45,12:15,NA
6/4/2021,3,2,3,14:00,14:30,NA
6/4/2021,4,2,1,9:15,9:45,NA
6/4/2021,4,2,2,11:00,11:30,NA
6/4/2021,4,2,3,14:45,15:15,NA
6/1/2021,5,2,1,9:15,9:45,NA
6/2/2021,5,2,2,12:15,12:45,NA
6/2/2021,5,2,3,14:45,15:15,NA
6/1/2021,6,2,1,10:20,10:50,NA
6/1/2021,6,2,2,11:15,11:45,NA
6/3/2021,6,2,3,14:00,14:30,NA
6/2/2021,7,2,1,10:10,10:40,NA
6/2/2021,7,2,2,11:15,11:45,NA
6/2/2021,7,2,3,15:15,15:45,NA
6/2/2021,8,2,1,9:00,9:30,NA
6/2/2021,8,2,2,16:00,16:30,NA
6/2/2021,8,2,3,16:30,17:00,NA
6/16/2021,1,3,1,9:00,9:30,35
6/16/2021,1,3,2,11:45,12:15,36.5
6/16/2021,1,3,3,14:45,15:15,35.4
