Date ,Day,Site,Sample,Transect,Species,Status,Count
5/17/2021,137,1,0,1,None,NA,0
5/17/2021,137,1,0,2,None,NA,0
5/17/2021,137,1,0,3,None,NA,0
5/25/2021,145,1,1,1,Claytonia lanceolata,Native,1
5/25/2021,145,1,1,2,Claytonia lanceolata,Native,4
5/25/2021,145,1,1,3,Claytonia lanceolata,Native,21
5/25/2021,145,1,1,2,Noccaea fendleri,Native,20
5/25/2021,145,1,1,3,Noccaea fendleri,Native,18
5/25/2021,145,1,1,1,Pulsatilla nuttalliana,Native,10
6/3/2021,154,1,2,3,Cerastium arvense,Native,1
6/3/2021,154,1,2,1,Claytonia lanceolata,Native,4
6/3/2021,154,1,2,2,Claytonia lanceolata,Native,5
6/3/2021,154,1,2,3,Claytonia lanceolata,Native,17
6/3/2021,154,1,2,3,Harbouria trachypleura,Native,2
6/3/2021,154,1,2,1,Noccaea fendleri,Native,12
6/3/2021,154,1,2,2,Noccaea fendleri,Native,3
6/3/2021,154,1,2,3,Noccaea fendleri,Native,3
6/3/2021,154,1,2,2,Taraxacum officinale,Introduced,1
6/3/2021,154,1,2,1,Veronica plantaginea,Native,39
6/3/2021,154,1,2,3,Veronica plantaginea,Native,23
6/16/2021,167,1,3,1,Antennaria corymbosa,Native,5
6/16/2021,167,1,3,2,Antennaria corymbosa,Native,3
6/16/2021,167,1,3,3,Antennaria corymbosa,Native,9
6/16/2021,167,1,3,1,Cerastium arvense,Native,30
6/16/2021,167,1,3,2,Cerastium arvense,Native,37
6/16/2021,167,1,3,3,Cerastium arvense,Native,20
6/16/2021,167,1,3,1,Delphinium nuttallianum,Native,31
6/16/2021,167,1,3,2,Delphinium nuttallianum,Native,93
6/16/2021,167,1,3,3,Delphinium nuttallianum,Native,112
6/16/2021,167,1,3,1,Harbouria trachypleura,Native,2
6/16/2021,167,1,3,3,Harbouria trachypleura,Native,5
6/16/2021,167,1,3,1,Senecio integerrimus,Native,8
6/16/2021,167,1,3,2,Senecio integerrimus,Native,6
6/16/2021,167,1,3,3,Senecio integerrimus,Native,13
6/16/2021,167,1,3,1,Thermopsis montana,Native,72
6/16/2021,167,1,3,2,Thermopsis montana,Native,74
6/16/2021,167,1,3,3,Thermopsis montana,Native,105
6/16/2021,167,1,3,1,Arabis glabra,Introduced,3
6/16/2021,167,1,3,3,Arabis glabra,Introduced,10
6/29/2021,180,1,4,2,Antennaria corymbosa,Native,2
6/29/2021,180,1,4,3,Antennaria corymbosa,Native,2
6/29/2021,180,1,4,1,Astragalus flexuosus,Native,30
6/29/2021,180,1,4,1,Cerastium arvense,Native,26
6/29/2021,180,1,4,2,Cerastium arvense,Native,24
6/29/2021,180,1,4,3,Cerastium arvense,Native,6
6/29/2021,180,1,4,1,Conyza canadensis,Native,3
6/29/2021,180,1,4,2,Conyza canadensis,Native,65
6/29/2021,180,1,4,3,Conyza canadensis,Native,10
6/29/2021,180,1,4,1,Delphinium nuttallianum,Native,5
6/29/2021,180,1,4,2,Delphinium nuttallianum,Native,36
6/29/2021,180,1,4,3,Delphinium nuttallianum,Native,13
6/29/2021,180,1,4,1,Eriogonum umbellatum,Native,2
6/29/2021,180,1,4,3,Eriogonum umbellatum,Native,10
6/29/2021,180,1,4,2,Erysimum capitatum,Native,22
6/29/2021,180,1,4,3,Senecio integerrimus,Native,3
6/29/2021,180,1,4,3,Thermopsis montana,Native,4
6/29/2021,180,1,4,1,Arabis glabra,Introduced,2
6/29/2021,180,1,4,2,Arabis glabra,Introduced,4
7/16/2021,197,1,5,1,Achillea millefolium ,Native,4
7/16/2021,197,1,5,3,Agoseris glauca,Native,3
7/16/2021,197,1,5,1,Arenaria fendleri,Native,28
7/16/2021,197,1,5,3,Arenaria fendleri,Native,7
7/16/2021,197,1,5,2,Astragalus miser,Native,12
7/16/2021,197,1,5,1,Calochortus gunnisonii,Native,4
7/16/2021,197,1,5,2,Calochortus gunnisonii,Native,14
7/16/2021,197,1,5,3,Calochortus gunnisonii,Native,4
7/16/2021,197,1,5,1,Campanula rotundifolia,Native,63
7/16/2021,197,1,5,2,Campanula rotundifolia,Native,1
7/16/2021,197,1,5,3,Campanula rotundifolia,Native,10
7/16/2021,197,1,5,1,Conyza canadensis,Native,23
7/16/2021,197,1,5,2,Conyza canadensis,Native,210
7/16/2021,197,1,5,3,Conyza canadensis,Native,54
7/16/2021,197,1,5,2,Cryptantha ambigua,Native,12
7/16/2021,197,1,5,1,Erigeron speciosus,Native,6
7/16/2021,197,1,5,1,Eriogonum umbellatum,Native,67
7/16/2021,197,1,5,2,Eriogonum umbellatum,Native,48
7/16/2021,197,1,5,3,Eriogonum umbellatum,Native,33
7/16/2021,197,1,5,3,Gaillardia aristata,Native,3
7/16/2021,197,1,5,1,Heterotheca villosa,Native,26
7/16/2021,197,1,5,3,Heterotheca villosa,Native,5
7/16/2021,197,1,5,1,Lupinus argenteus,Native,40
7/16/2021,197,1,5,1,Oxytropis lambertii,Native,81
7/16/2021,197,1,5,3,Oxytropis lambertii,Native,15
7/16/2021,197,1,5,3,Potentilla hippiana,Native,2
7/16/2021,197,1,5,1,Sedum lanceolatum,Native,5
7/16/2021,197,1,5,2,Tragopogon dubius,Introduced,1
7/27/2021,208,1,6,1,Achillea millefolium ,Native,2
7/27/2021,208,1,6,1,Agoseris glauca,Native,2
7/27/2021,208,1,6,3,Agoseris glauca,Native,5
7/27/2021,208,1,6,1,Allium cernuum,Native,8
7/27/2021,208,1,6,1,Arenaria fendleri,Native,11
7/27/2021,208,1,6,1,Astragalus flexuosus,Native,20
7/27/2021,208,1,6,1,Calochortus gunnisonii,Native,22
7/27/2021,208,1,6,3,Calochortus gunnisonii,Native,9
7/27/2021,208,1,6,2,Calochortus gunnisonii,Native,6
7/27/2021,208,1,6,3,Campanula rotundifolia,Native,14
7/27/2021,208,1,6,2,Campanula rotundifolia,Native,18
7/27/2021,208,1,6,1,Conyza canadensis,Native,25
7/27/2021,208,1,6,3,Conyza canadensis,Native,38
7/27/2021,208,1,6,2,Conyza canadensis,Native,60
7/27/2021,208,1,6,1,Erigeron speciosus,Native,46
7/27/2021,208,1,6,3,Erigeron speciosus,Native,3
7/27/2021,208,1,6,1,Eriogonum umbellatum,Native,11
7/27/2021,208,1,6,3,Eriogonum umbellatum,Native,18
7/27/2021,208,1,6,2,Eriogonum umbellatum,Native,40
7/27/2021,208,1,6,3,Gaillardia aristata,Native,2
7/27/2021,208,1,6,2,Gaillardia aristata,Native,1
7/27/2021,208,1,6,1,Heterotheca villosa,Native,164
7/27/2021,208,1,6,3,Heterotheca villosa,Native,43
7/27/2021,208,1,6,2,Heterotheca villosa,Native,21
7/27/2021,208,1,6,1,Lupinus argenteus,Native,22
7/27/2021,208,1,6,1,Oxytropis lambertii,Native,5
8/12/2021,224,1,7,1,Achillea millefolium ,Native,2
8/12/2021,224,1,7,3,Agoseris glauca,Native,1
8/12/2021,224,1,7,2,Allium cernuum,Native,5
8/12/2021,224,1,7,3,Allium cernuum,Native,18
8/12/2021,224,1,7,3,Arenaria fendleri,Native,20
8/12/2021,224,1,7,2,Artemisia frigida,Native,6
8/12/2021,224,1,7,3,Artemisia frigida,Native,15
8/12/2021,224,1,7,3,Artemisia ludoviciana,Native,15
8/12/2021,224,1,7,1,Campanula rotundifolia,Native,37
8/12/2021,224,1,7,2,Campanula rotundifolia,Native,5
8/12/2021,224,1,7,3,Campanula rotundifolia,Native,9
8/12/2021,224,1,7,2,Conyza canadensis,Native,5
8/12/2021,224,1,7,3,Conyza canadensis,Native,10
8/12/2021,224,1,7,2,Ericameria nauseosa,Native,58
8/12/2021,224,1,7,1,Erigeron speciosus,Native,63
8/12/2021,224,1,7,3,Erigeron speciosus,Native,3
8/12/2021,224,1,7,1,Eriogonum umbellatum,Native,15
8/12/2021,224,1,7,2,Eriogonum umbellatum,Native,10
8/12/2021,224,1,7,3,Eriogonum umbellatum,Native,8
8/12/2021,224,1,7,3,Gaillardia aristata,Native,2
8/12/2021,224,1,7,1,Heterotheca villosa,Native,146
8/12/2021,224,1,7,2,Heterotheca villosa,Native,43
8/12/2021,224,1,7,3,Heterotheca villosa,Native,33
8/12/2021,224,1,7,3,Orthocarpus luteus,Native,75
8/12/2021,224,1,7,2,Solidago multiradiata,Native,5
8/20/2021,232,1,8,1,Achillea millefolium ,Native,1
8/20/2021,232,1,8,1,Agoseris glauca,Native,1
8/20/2021,232,1,8,3,Allium cernuum,Native,10
8/20/2021,232,1,8,2,Allium cernuum,Native,5
8/20/2021,232,1,8,3,Arenaria fendleri,Native,26
8/20/2021,232,1,8,1,Artemisia frigida,Native,6
8/20/2021,232,1,8,3,Artemisia frigida,Native,32
8/20/2021,232,1,8,2,Artemisia frigida,Native,20
8/20/2021,232,1,8,3,Artemisia ludoviciana,Native,20
8/20/2021,232,1,8,1,Campanula rotundifolia,Native,9
8/20/2021,232,1,8,3,Campanula rotundifolia,Native,5
8/20/2021,232,1,8,2,Campanula rotundifolia,Native,3
8/20/2021,232,1,8,2,Conyza canadensis,Native,1
8/20/2021,232,1,8,2,Ericameria nauseosa,Native,120
8/20/2021,232,1,8,1,Erigeron speciosus,Native,4
8/20/2021,232,1,8,1,Eriogonum umbellatum,Native,1
8/20/2021,232,1,8,2,Eriogonum umbellatum,Native,2
8/20/2021,232,1,8,1,Heterotheca villosa,Native,25
8/20/2021,232,1,8,3,Heterotheca villosa,Native,25
8/20/2021,232,1,8,2,Heterotheca villosa,Native,9
8/20/2021,232,1,8,3,Orthocarpus luteus,Native,68
8/20/2021,232,1,8,2,Solidago multiradiata,Native,2
9/11/2021,254,1,9,2,Artemisia frigida,Native,10
9/11/2021,254,1,9,1,Campanula rotundifolia,Native,1
9/11/2021,254,1,9,3,Campanula rotundifolia,Native,2
9/11/2021,254,1,9,3,Ericameria nauseosa,Native,2
9/11/2021,254,1,9,2,Ericameria nauseosa,Native,10
9/11/2021,254,1,9,1,Heterotheca villosa,Native,2
9/11/2021,254,1,9,3,Heterotheca villosa,Native,7
9/11/2021,254,1,9,2,Heterotheca villosa,Native,3
5/17/2021,137,2,0,1,None,NA,0
5/17/2021,137,2,0,2,None,NA,0
5/17/2021,137,2,0,3,None,NA,0
5/25/2021,145,2,1,1,Claytonia lanceolata,Native,68
5/25/2021,145,2,1,3,Claytonia lanceolata,Native,11
5/25/2021,145,2,1,2,Noccaea fendleri,Native,115
6/3/2021,154,2,2,3,Antennaria parvifolia,Native,17
6/3/2021,154,2,2,1,Cerastium arvense,Native,5
6/3/2021,154,2,2,2,Cerastium arvense,Native,1
6/3/2021,154,2,2,3,Cerastium arvense,Native,1
6/3/2021,154,2,2,1,Claytonia lanceolata,Native,8
6/3/2021,154,2,2,3,Claytonia lanceolata,Native,3
6/3/2021,154,2,2,3,Collinsia parviflora,Native,4
6/3/2021,154,2,2,1,Delphinium nuttallianum,Native,2
6/3/2021,154,2,2,2,Delphinium nuttallianum,Native,3
6/3/2021,154,2,2,2,Harbouria trachypleura,Native,6
6/3/2021,154,2,2,3,Harbouria trachypleura,Native,12
6/3/2021,154,2,2,1,Noccaea fendleri,Native,6
6/3/2021,154,2,2,2,Noccaea fendleri,Native,12
6/3/2021,154,2,2,1,Ribes cereum,Native,24
6/3/2021,154,2,2,1,Taraxacum officinale,Introduced,5
6/3/2021,154,2,2,1,Arabis glabra,Introduced,4
6/3/2021,154,2,2,3,Arabis glabra,Introduced,3
6/16/2021,167,2,3,2,Antennaria parvifolia,Native,20
6/16/2021,167,2,3,3,Antennaria parvifolia,Native,20
6/16/2021,167,2,3,3,Astragalus parryi,Native,24
6/16/2021,167,2,3,1,Cerastium arvense,Native,67
6/16/2021,167,2,3,2,Cerastium arvense,Native,76
6/16/2021,167,2,3,3,Cerastium arvense,Native,92
6/16/2021,167,2,3,1,Delphinium nuttallianum,Native,86
6/16/2021,167,2,3,2,Delphinium nuttallianum,Native,59
6/16/2021,167,2,3,3,Delphinium nuttallianum,Native,77
6/16/2021,167,2,3,1,Erigeron divergens,Native,6
6/16/2021,167,2,3,3,Erigeron divergens,Native,23
6/16/2021,167,2,3,1,Eriogonum umbellatum,Native,20
6/16/2021,167,2,3,2,Eriogonum umbellatum,Native,51
6/16/2021,167,2,3,3,Eriogonum umbellatum,Native,17
6/16/2021,167,2,3,2,Harbouria trachypleura,Native,3
6/16/2021,167,2,3,3,Harbouria trachypleura,Native,9
6/16/2021,167,2,3,1,Ribes cereum,Native,56
6/16/2021,167,2,3,1,Senecio integerrimus,Native,4
6/16/2021,167,2,3,3,Senecio integerrimus,Native,8
6/16/2021,167,2,3,1,Thermopsis montana,Native,2
6/16/2021,167,2,3,2,Thermopsis montana,Native,26
6/16/2021,167,2,3,3,Thermopsis montana,Native,10
6/16/2021,167,2,3,1,Thlaspi arvense,Introduced,712
6/29/2021,180,2,4,3,Antennaria parvifolia,Native,3
6/29/2021,180,2,4,1,Astragalus miser,Native,18
6/29/2021,180,2,4,2,Astragalus miser,Native,57
6/29/2021,180,2,4,1,Camelina microcarpa,Introduced,22
6/29/2021,180,2,4,2,Cerastium arvense,Native,30
6/29/2021,180,2,4,3,Cerastium arvense,Native,26
6/29/2021,180,2,4,1,Delphinium nuttallianum,Native,2
6/29/2021,180,2,4,2,Delphinium nuttallianum,Native,1
6/29/2021,180,2,4,1,Erigeron flagellaris,Native,52
6/29/2021,180,2,4,2,Erigeron flagellaris,Native,30
6/29/2021,180,2,4,3,Erigeron flagellaris,Native,281
6/29/2021,180,2,4,1,Eriogonum umbellatum,Native,354
6/29/2021,180,2,4,2,Eriogonum umbellatum,Native,315
6/29/2021,180,2,4,3,Eriogonum umbellatum,Native,265
6/29/2021,180,2,4,1,Lappula occidentalis,Native,7
6/29/2021,180,2,4,3,Rosa woodsii,Native,1
6/29/2021,180,2,4,1,Thlaspi arvense,Introduced,27
6/29/2021,180,2,4,1,Tragopogon dubius,Introduced,1
7/16/2021,197,2,5,2,Achillea millefolium ,Native,20
7/16/2021,197,2,5,3,Achillea millefolium ,Native,2
7/16/2021,197,2,5,2,Astragalus flexuosus,Native,42
7/16/2021,197,2,5,1,Calochortus gunnisonii,Native,2
7/16/2021,197,2,5,2,Calochortus gunnisonii,Native,3
7/16/2021,197,2,5,3,Calochortus gunnisonii,Native,1
7/16/2021,197,2,5,1,Camelina microcarpa,Introduced,10
7/16/2021,197,2,5,2,Campanula rotundifolia,Native,3
7/16/2021,197,2,5,3,Campanula rotundifolia,Native,2
7/16/2021,197,2,5,1,Erigeron flagellaris,Native,3
7/16/2021,197,2,5,2,Erigeron flagellaris,Native,8
7/16/2021,197,2,5,3,Erigeron flagellaris,Native,64
7/16/2021,197,2,5,1,Erigeron speciosus,Native,1
7/16/2021,197,2,5,2,Erigeron speciosus,Native,7
7/16/2021,197,2,5,2,Eriogonum umbellatum,Native,316
7/16/2021,197,2,5,3,Eriogonum umbellatum,Native,384
7/16/2021,197,2,5,1,Eriogonum umbellatum,Native,255
7/16/2021,197,2,5,3,Grindelia squarrosa,Native,1
