Genus,BodySize,Nest1 ,Nest2,Sociality,Lecty
Agapostemon,mid,below,excavate,multiple,poly
Andrena,mid,below,excavate,multiple,multiple
Anthidium/Dianthidium,small,above,rent,solitary,poly
Anthophora,large,below,excavate,multiple,poly
Apis,mid,above,excavate,social,poly
Ashmeadiella,small,both,rent,solitary,poly
Augochlorella,small,above,excavate,social,poly
Bombus,large,below,rent,social,poly
Ceratina,small,above,excavate,social,poly
Coelioxys,mid,klepto,klepto,klepto,klepto
Colletes,mid,below,excavate,solitary,multiple
Dufourea,small,below,excavate,solitary,oligo
Epeolus,small,klepto,klepto,klepto,klepto
Halictus,small,below,excavate,multiple,poly
Heriades,small,above,rent,solitary,poly
Hoplitis,small,above,rent,solitary,poly
Hylaeus,small,both,rent,solitary,poly
Lasioglossum (Dialictus),small,below,excavate,multiple,poly
Lasioglossum (Sensu stricto),mid,below,excavate,multiple,poly
Megachile,large,above,rent,solitary,multiple
Melissodes,mid,below,excavate,solitary,oligo
Nomada,mid,klepto,klepto,klepto,klepto
Osmia,mid,above,rent,solitary,multiple
Sphecodes,small,klepto,klepto,klepto,klepto
Svastra,large,below,excavate,solitary,oligo
