Label,Number,Collection date,Species,Count,Mass
A,1,6/29/2021,Sedum lanceolatum,25,0.44
B,2,6/29/2021,Rosa woodsii,6,10.4
C,3,6/16/2021,Thermopsis montana,20,0.09
D,4,6/29/2021,Erigeron divergons,20,0.02
E,5,6/16/2021,Thlaspi arvense,20,0.02
F,6,6/2/2021,Leucocrinum montanum,8,0.21
G,7,6/29/2021,Achillea millefolium,20,0.37
H,8,6/18/2021,Penstemon virens,35,0.07
I,9,6/29/2021,Eriogonum umbellatum,20,0.05
J,10,6/29/2021,Erigeron flagellaris,20,0.24
K,11,6/29/2021,Penstemon virens,15,0.05
L,12,6/18/2021,Lupinus argenteus,65,2.3
M,13,6/18/2021,Geranium caespitosum,12,0.23
N,14,6/20/2021,Astragalus flexuosus,115,0.74
O,15,6/29/2021,Draba aurea,25,0.24
P,16,7/1/2021,Senecio integerrimus,10,0.02
Q,17,6/29/2021,Thermopsis montana,30,5.8
R,18,6/29/2021,Oxytropis lambertii,70,2.3
S,19,6/29/2021,Frasea speciosa,11,6.4
T,20,6/4/2021,Harbouria trachypleura,14,0.44
U,21,6/29/2021,Achillea millefolium,30,0.05
V,22,6/29/2021,Delphinium nuttallianum,10,0.29
W,23,6/3/2021,Veronica plantaginea,5,0.81
X,24,6/29/2021,Allium geyeri,45,0.73
Y,25,7/1/2021,Packera fenderli,10,0.2
Z,26,6/29/2021,Antennaria corymbosa,25,0.19
AA,27,7/28/2021,Potentilla hippiana,30,0.02
BB,28,7/28/2021,Solidago missourieniss,30,0.65
CC,29,7/28/2021,Grindelia squarrosa,7,1.9
DD,30,7/28/2021,Carduus nutans,5,70.5
EE,31,7/14/2021,Calochortus gunnisonii,9,6.75
FF,32,6/1/2021,Mertensia lanceolata,27,0.16
GG,33,7/14/2021,Gaillardia arista,4,0.31
HH,34,7/14/2021,Collomia Linearis,20,0.43
II,35,7/14/2021,Heterotheca villosa,9,0.18
JJ,36,7/14/2021,Campanula rotundifolia,9,2.9
KK,37,6/30/2021,Camelina microcarpa,100,0.37
LL,38,7/14/2021,Ceanothus herbaceus,45,0.45
MM,39,6/30/2021,Cerastium arvense,17,0.52
NN,40,6/18/2021,Tragopogon dubius,7,3.49
OO,41,6/30/2021,Arenaria fendleri,35,0.72
PP,42,6/30/2021,Oenothera coronopifolia,1,1.29
QQ,43,6/30/2021,Erysimum capitatum,20,0.28
RR,44,5/23/2021,Ranunculus glaberrimus,5,0.05
SS,45,6/18/2021,Seutellaria britlonii,27,0.05
TT,46,6/18/2021,Eriogonum umbellatum,10,0.12
UU,47,6/2/2021,Saxifraga rhomboidea,8,2.44
VV,48,6/20/2021,Allium geyeri,65,0.05
WW,49,6/2/2021,Claytonia lanceolata,15,0.08
XX,50,6/2/2021,Cerastium arvense,20,0.59
YY,51,6/18/2021,Toxicoscordion venenosum,110,1.55
ZZ,52,6/18/2021,Potentilla fissa,10,2.05
AB,53,6/16/2021,Senecio integerrimus,10,0.83
AC,54,6/1/2021,Delphinium nuttallii,11,0.34
AD,55,5/24/2021,Pulsatilla nuttalliana,5,2.42
AE,56,6/20/2021,Arnica fulgens,10,2.04
AF,57,6/4/2021,Noccaea fendleri,80,0.33
AG,58,6/18/2021,Astragalus parryi,29,0.82
AH,59,6/18/2021,Oxytropis lambertii,35,0.83
AI,60,6/16/2021,Thlaspi arvense,20,0.19
AJ,61,6/18/2021,Erigeron divergens,18,0.42
AK,62,6/1/2021,Clematis hirsutissima,5,0.81
AL,63,5/23/2021,Taraxacum officinale,6,0.05
AM,64,6/2/2021,Taraxacum officinale,4,0.7
AN,65,6/20/2021,Camelina microcarpa,50,1.59
AO,66,8/12/2021,Linaria vulgaris,43,0.2
AP,67,8/11/2021,Symphyotrichum porteri,15,6.02
AQ,68,8/18/2021,Ericameria nauseosa,10,4.64
AR,69,8/12/2021,Solidago multiradiata,28,3.48
AS,70,8/18/2021,Artemisia frigida,150,17.67
AT,71,8/18/2021,Artemisia ludoviciana,150,17.39
